id,event_cause,event_type,status,priority,requires_road_closure,corridor,veh_type,police_station,zone,junction,latitude,longitude,description,start_datetime,closed_datetime,start_hour,closure_flag,on_corridor,near_24h_cap,desc_highway,desc_multiple,desc_signal,duration_min
FKID000000,vehicle_breakdown,unplanned,closed,High,False,Tumkur Road,lcv,Peenya,Unknown,Unknown,13.0400041,77.5180991,s m circle in coming  man track,2024-03-07 17:01:48.111+00,,17.0,False,True,False,False,False,False,
FKID000001,vehicle_breakdown,unplanned,resolved,High,False,ORR East 1,heavy_vehicle,HSR Layout,Unknown,Unknown,12.9218755,77.6451585,Starting problem,2024-01-30 04:07:24.173+00,,4.0,False,True,False,False,False,False,
FKID000002,others,unplanned,closed,Low,False,Non-corridor,not_applicable,Wilson Garden,Central Zone 2,UrvashiJunction,12.955622,77.5857083,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,2023-11-11 06:18:03.343+00,2024-01-30 04:56:03.281509+00,6.0,False,False,True,False,False,False,115117.99897515001
FKID000003,tree_fall,unplanned,closed,Low,True,Non-corridor,not_applicable,Sadashivanagar,Unknown,Unknown,13.0061469,77.5794348,tree fall,2024-03-07 17:56:55.061+00,2024-03-14 07:42:05.54944+00,17.0,True,False,True,False,False,False,9465.174807333333
FKID000004,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,private_bus,Wilson Garden,Unknown,LalbaghMainGateJunc,12.95398,77.5852333,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,2024-01-30 04:56:32.348+00,2024-01-30 05:35:17.338283+00,4.0,False,False,False,False,False,False,38.74983805
FKID000005,accident,unplanned,closed,Low,False,Non-corridor,unknown,Hebbala,North Zone 1,Unknown,13.0664854,77.5998755,,2023-11-28 03:07:27.292421+00,,3.0,False,False,False,False,False,False,
FKID000006,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,bmtc_bus,Kengeri,Unknown,Unknown,12.9328703,77.4879814,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,2024-01-30 07:26:26.739+00,,7.0,False,False,False,False,False,False,
FKID000007,others,unplanned,closed,Low,False,Non-corridor,not_applicable,Cubbon Park,Unknown,Unknown,12.973175,77.6003961,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,2024-01-30 06:05:59.339+00,2024-02-16 01:28:18.330429+00,6.0,False,False,True,False,False,False,24202.316523816666
FKID000008,public_event,planned,closed,High,False,CBD 2,not_applicable,Cubbon Park,Unknown,QueensStatueCircle,12.97883573,77.59953728,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",2024-02-12 02:05:46+00,,,False,True,False,False,False,False,
FKID000009,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,lcv,Hennuru,Unknown,Unknown,13.0373543,77.6540442,,2024-01-30 05:25:50.078+00,,5.0,False,False,False,False,False,False,
