event_id,lat,lon,event_cause,severity_tier,closure_risk,f4_risk,type_closure_rate,expected_clearance_min,p90_buffer_min,recommended_personnel,barricade,diversion,resource_hold_min,review_flag,night_flag,location_name,notes
FKID000000,13.0400041,77.5180991,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID000001,12.9218755,77.6451585,vehicle_breakdown,Low,0.062,0.062,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000002,12.955622,77.5857083,others,Medium,0.086,0.069,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000003,13.0061469,77.5794348,tree_fall,High,0.507,0.507,0.394,90,1140,4,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000004,12.95398,77.5852333,vehicle_breakdown,Low,0.069,0.069,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000005,13.0664854,77.5998755,accident,Low,0.032,0.032,0.03,40,89,1,False,False,89,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000006,12.9328703,77.4879814,vehicle_breakdown,Low,0.223,0.223,0.043,41,113,1,False,False,113,False,False,,[]
FKID000007,12.973175,77.6003961,others,Medium,0.086,0.079,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000008,12.97883573,77.59953728,public_event,High,0.464,0.097,0.464,46,110,3,True,True,110,False,False,,[]
FKID000009,13.0373543,77.6540442,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000010,13.0008457,77.6813712,water_logging,High,0.085,0.057,0.085,113,1066,3,False,True,113,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000011,12.94457,77.5274017,vehicle_breakdown,Low,0.043,0.032,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000012,12.9995223,77.6827499,water_logging,High,0.085,0.018,0.085,113,1066,3,False,True,113,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000013,13.0418933,77.594705,others,Medium,0.086,0.068,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000014,12.975285,77.6256902,pot_holes,Low,0.024,0.022,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000015,13.0633917,77.5933483,others,Medium,0.086,0.077,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000016,13.063425,77.5933,others,Medium,0.086,0.077,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000017,13.0254527,77.6417388,others,Medium,0.097,0.097,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000018,12.9233517,77.5904883,tree_fall,High,0.527,0.527,0.394,90,1140,4,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000019,13.0001393,77.5840594,vehicle_breakdown,Low,0.043,0.013,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000020,12.9071221,77.6286395,vehicle_breakdown,Low,0.043,0.031,0.043,41,113,1,False,False,113,False,False,,[]
FKID000021,12.927375,77.5806883,tree_fall,High,0.527,0.527,0.394,90,1140,4,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000022,12.9169074,77.5950955,pot_holes,Low,0.025,0.025,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000023,12.9667047,77.6615983,pot_holes,Low,0.035,0.035,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000024,12.8966387,77.7202071,water_logging,High,0.085,0.02,0.085,113,1066,3,False,True,113,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000025,12.9463911,77.597326,tree_fall,High,0.461,0.461,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000026,12.9856042,77.5977438,pot_holes,Low,0.104,0.104,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000027,12.9077383,77.6005709,vehicle_breakdown,Low,0.043,0.035,0.043,41,113,1,False,False,113,False,False,,[]
FKID000028,12.9635109,77.6642122,pot_holes,Low,0.027,0.027,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000029,12.9667073,77.6615616,pot_holes,Low,0.035,0.035,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000030,12.9666867,77.6616478,pot_holes,Low,0.035,0.035,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000031,12.907814,77.6006561,vehicle_breakdown,Low,0.043,0.035,0.043,41,113,1,False,False,113,False,False,,[]
FKID000032,12.8955737,77.5993711,vehicle_breakdown,Low,0.043,0.025,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000033,12.92757,77.5832051,tree_fall,High,0.527,0.527,0.394,90,1140,4,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000034,13.044697,77.5828546,congestion,Medium,0.044,0.022,0.044,72,97,2,False,False,97,False,True,,['night shift - reduced staffing; verify unit availability']
