id,event_cause,event_type,status,priority,requires_road_closure,corridor,veh_type,police_station,zone,junction,latitude,longitude,description,start_datetime,closed_datetime,start_hour,closure_flag,on_corridor,near_24h_cap,desc_highway,desc_multiple,desc_signal,duration_min
FKID000004,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,private_bus,Wilson Garden,Unknown,LalbaghMainGateJunc,12.95398,77.5852333,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,2024-01-30 04:56:32.348+00,2024-01-30 05:35:17.338283+00,4.0,False,False,False,False,False,False,38.74983805
FKID000018,tree_fall,unplanned,closed,Low,False,Non-corridor,not_applicable,Jayanagara,Unknown,Unknown,12.9233517,77.5904883,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,2024-03-07 19:39:29.764+00,2024-03-08 00:32:50.46445+00,19.0,False,False,False,False,False,False,293.3450075
FKID000020,vehicle_breakdown,unplanned,closed,High,False,Hosur Road,heavy_vehicle,Madiwala,Unknown,Unknown,12.9071221,77.6286395,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,2024-03-07 19:25:04.302+00,2024-03-07 19:52:19.227138+00,19.0,False,True,False,False,False,False,27.2487523
FKID000025,tree_fall,unplanned,closed,Low,True,Non-corridor,not_applicable,Wilson Garden,Unknown,Unknown,12.9463911,77.597326,no,2024-03-07 06:09:19.361+00,2024-03-07 20:12:38.802518+00,6.0,True,False,False,False,False,False,843.3240253
FKID000028,pot_holes,unplanned,closed,Low,False,Unknown,not_applicable,HAL Old Airport,Unknown,Unknown,12.9635109,77.6642122,A,2024-01-30 08:25:57.212+00,2024-01-30 08:35:01.998607+00,8.0,False,False,False,False,False,False,9.079776783333333
FKID000041,others,unplanned,closed,High,True,Bellary Road 1,not_applicable,High ground,Unknown,Unknown,12.9936273,77.5844677,Near cm office [PERSON] towards B02 junction sir,2024-03-07 20:20:31.14+00,2024-03-07 22:06:56.28907+00,20.0,True,True,False,False,False,False,106.41915116666668
FKID000047,others,unplanned,closed,High,False,Tumkur Road,not_applicable,Yeshwanthpura,Unknown,Unknown,13.0262806,77.5442344,mei signal off due to power Problem,2024-03-07 20:27:15.443+00,2024-03-07 22:40:47.232952+00,20.0,False,True,False,False,False,True,133.52983253333335
FKID000049,vehicle_breakdown,unplanned,closed,High,False,ORR East 1,bmtc_bus,Bellandur,Unknown,Unknown,12.9188682,77.6687736,BMTC buss off -road due to break down..fire station jn towards [LOCATION],2024-01-30 21:27:52.454+00,2024-01-30 22:23:24.957711+00,21.0,False,True,False,False,False,False,55.541728516666666
FKID000053,vehicle_breakdown,unplanned,closed,High,False,Bellary Road 1,private_car,High ground,Unknown,Unknown,12.9849833,77.5883633,"LRDE ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",2024-01-30 21:47:40.463+00,2024-01-30 22:57:00.255562+00,21.0,False,True,False,False,False,False,69.32987603333332
FKID000055,road_conditions,unplanned,closed,Low,False,Non-corridor,not_applicable,Whitefield,Unknown,Unknown,12.9842019,77.7336286,,2024-01-30 21:54:56.083+00,2024-01-30 22:56:12.701247+00,21.0,False,False,False,False,False,False,61.27697078333333
